# 1.Dataset  2.sqrt_N0  3.N1  4.P  5.Ptest  6.T  7.lambda0  8.lambda1  9.noise  10.theory
cifar10 32 100 25 1000 0.01 1.0 1.0 0.0 0.37796775562060947
cifar10 32 200 50 1000 0.01 1.0 1.0 0.0 0.329327382058667
cifar10 32 300 75 1000 0.01 1.0 1.0 0.0 0.2884226033522028
cifar10 32 400 100 1000 0.01 1.0 1.0 0.0 0.28105634180088623
cifar10 32 500 125 1000 0.01 1.0 1.0 0.0 0.2686866433468276
cifar10 32 600 150 1000 0.01 1.0 1.0 0.0 0.26663087700229315
cifar10 32 700 175 1000 0.01 1.0 1.0 0.0 0.2650979157301708
cifar10 32 800 200 1000 0.01 1.0 1.0 0.0 0.25136990504682477
cifar10 32 900 225 1000 0.01 1.0 1.0 0.0 0.24732059848717894
cifar10 32 1000 250 1000 0.01 1.0 1.0 0.0 0.24493301408326287
cifar10 32 1100 275 1000 0.01 1.0 1.0 0.0 0.24486654508439437
cifar10 32 1200 300 1000 0.01 1.0 1.0 0.0 0.2416429723674575
cifar10 32 1300 325 1000 0.01 1.0 1.0 0.0 0.24148129278497582
cifar10 32 1400 350 1000 0.01 1.0 1.0 0.0 0.23868183315081043
cifar10 32 1500 375 1000 0.01 1.0 1.0 0.0 0.23341088155222112
cifar10 32 1600 400 1000 0.01 1.0 1.0 0.0 0.2341098410973018
cifar10 32 1700 425 1000 0.01 1.0 1.0 0.0 0.23124407485307755
cifar10 32 1800 450 1000 0.01 1.0 1.0 0.0 0.22881018676848547
cifar10 32 1900 475 1000 0.01 1.0 1.0 0.0 0.2246801166176337
cifar10 32 2000 500 1000 0.01 1.0 1.0 0.0 0.2173236764465549
cifar10 32 2100 525 1000 0.01 1.0 1.0 0.0 0.2156382719520024
cifar10 32 2200 550 1000 0.01 1.0 1.0 0.0 0.2171990814733039
cifar10 32 2300 575 1000 0.01 1.0 1.0 0.0 0.21203261414460545
cifar10 32 2400 600 1000 0.01 1.0 1.0 0.0 0.21622492700057097
cifar10 32 2500 625 1000 0.01 1.0 1.0 0.0 0.21544515071648238
cifar10 32 2600 650 1000 0.01 1.0 1.0 0.0 0.21454098089278947
cifar10 32 2700 675 1000 0.01 1.0 1.0 0.0 0.21038921826284424
cifar10 32 2800 700 1000 0.01 1.0 1.0 0.0 0.21066387352703037
cifar10 32 2900 725 1000 0.01 1.0 1.0 0.0 0.20776057949702564
cifar10 32 3000 750 1000 0.01 1.0 1.0 0.0 0.20754617045559468
cifar10 32 3100 775 1000 0.01 1.0 1.0 0.0 0.20723188513574048
cifar10 32 3200 800 1000 0.01 1.0 1.0 0.0 0.20574388994051765
cifar10 32 3300 825 1000 0.01 1.0 1.0 0.0 0.20428922679587164
cifar10 32 3400 850 1000 0.01 1.0 1.0 0.0 0.20340359314077985
cifar10 32 3500 875 1000 0.01 1.0 1.0 0.0 0.20561777802262043
cifar10 32 3600 900 1000 0.01 1.0 1.0 0.0 0.20397182309895262
cifar10 32 3700 925 1000 0.01 1.0 1.0 0.0 0.2017041350047667
cifar10 32 3800 950 1000 0.01 1.0 1.0 0.0 0.196105438354071
cifar10 32 3900 975 1000 0.01 1.0 1.0 0.0 0.194400496615155
cifar10 32 4000 1000 1000 0.01 1.0 1.0 0.0 0.19553063036804527
cifar10 32 4100 1025 1000 0.01 1.0 1.0 0.0 0.19250158025828806
cifar10 32 4200 1050 1000 0.01 1.0 1.0 0.0 0.19216279412267417
cifar10 32 4300 1075 1000 0.01 1.0 1.0 0.0 0.1917136624933753
cifar10 32 4400 1100 1000 0.01 1.0 1.0 0.0 0.18982355478345384
cifar10 32 4500 1125 1000 0.01 1.0 1.0 0.0 0.19040361323913488
cifar10 32 4600 1150 1000 0.01 1.0 1.0 0.0 0.1863250481180591
cifar10 32 4700 1175 1000 0.01 1.0 1.0 0.0 0.18633307389225004
cifar10 32 4800 1200 1000 0.01 1.0 1.0 0.0 0.18341010521991
cifar10 32 4900 1225 1000 0.01 1.0 1.0 0.0 0.18050078724439994
cifar10 32 100 25 1000 0.5 1.0 1.0 0.0 0.4503015962882902
cifar10 32 200 50 1000 0.5 1.0 1.0 0.0 0.38569992214000204
cifar10 32 300 75 1000 0.5 1.0 1.0 0.0 0.3453606945462596
cifar10 32 400 100 1000 0.5 1.0 1.0 0.0 0.3123182213887427
cifar10 32 500 125 1000 0.5 1.0 1.0 0.0 0.2981749499324687
cifar10 32 600 150 1000 0.5 1.0 1.0 0.0 0.2880304016687066
cifar10 32 700 175 1000 0.5 1.0 1.0 0.0 0.2827733281289598
cifar10 32 800 200 1000 0.5 1.0 1.0 0.0 0.272746475488054
cifar10 32 900 225 1000 0.5 1.0 1.0 0.0 0.26531464201345556
cifar10 32 1000 250 1000 0.5 1.0 1.0 0.0 0.2619724573320609
cifar10 32 1100 275 1000 0.5 1.0 1.0 0.0 0.2578908470914217
cifar10 32 1200 300 1000 0.5 1.0 1.0 0.0 0.25466187994683803
cifar10 32 1300 325 1000 0.5 1.0 1.0 0.0 0.25237451049981674
